id,narragansett,english_gloss,english_historical,chapter,chapter_num,semantic_domain,is_phrase,authority,elder_approved,speaker_attribution
rw-002-ne-n-ke-n-ew,"Neèn, Keèn, Ewò","I, you, he.","I, you, he.","Salutation",1,kinship,true,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-003-ke-nkaneen,"Keénkaneen","You and I.","You and I.","Salutation",1,kinship,false,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-004-ascowequassunn-mmis,"Ascowequassunnúmmis","Good morrow.","Good morrow.","Salutation",1,kinship,false,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-005-askuttaaquomps-n,"Askuttaaquompsín","How do you do??","Hou doe you?","Salutation",1,kinship,false,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-006-asnpaumpma-ntam,"Asnpaumpmaúntam","I am very well.","I am very well.","Salutation",1,kinship,true,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-007-taub-t-paump-ma-ntaman,"Taubút paump maúntaman","I am glad you are well.","I am glad you are well.","Salutation",1,kinship,true,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-008-cowa-nckamish,"Cowaúnckamish","My service to you.","My service to you.","Salutation",1,kinship,true,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-009-matta-niccattupp-mmin,"Matta niccattuppúmmin","I am not hungry.","I am not hungry.","Eating and Entertainment",2,food,true,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-010-nicc-wkatone,"Niccàwkatone","I am thirstie.","I am thirstie.","Eating and Entertainment",2,food,false,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-011-nip-or-nip-wese,"Nip, or nipéwese","Give me some water.","Give me some water.","Eating and Entertainment",2,food,true,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-012-namitch-commetes-mmin,"Namitch, commetesímmin","Stay, you must eat first.","Stay, you must eat first.","Eating and Entertainment",2,food,true,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-013-t-aquacumm-ich,"Téaquacumméich","What will you eat?","What will you eat?","Eating and Entertainment",2,food,true,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-014-n-kehick,"Nókehick","Parch’d meal, which is a","Parch’d meal, which is a","Eating and Entertainment",2,food,true,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-015-aup-mmineanash,"Aupúmmineanash","The parch’d corne.","The parch’d corne.","Eating and Entertainment",2,food,false,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-016-aup-minea-nawsa-mp,"Aupúminea-nawsaùmp","The parch’d meale boild","The parch’d meale boild","Eating and Entertainment",2,food,true,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-017-nsowwushk-wmen,"Nsowwushkâwmen","I am weary.","I am weary.","Sleep and Lodging",3,kinship,false,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-018-nk-taquaum,"Nkàtaquaum","I am sleepie.","I am sleepie.","Sleep and Lodging",3,kinship,false,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-019-kukkoveto-s,"Kukkovetoùs","Shall I lodge here?","Shall I lodge here?","Sleep and Lodging",3,kinship,true,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-020-kukkow-ti,"Kukkowéti","Will you sleep here.","Will you sleepe here.","Sleep and Lodging",3,kinship,true,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-021-wunn-gin-c-wish,"Wunnégin, cówish","Welcome, sleep here.","Welcome, sleepe here.","Sleep and Lodging",3,kinship,true,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-022-nummouaqu-men,"Nummouaquômen","I will lodge abroad.","I will lodge abroad.","Sleep and Lodging",3,kinship,true,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-023-puckqu-tchick-nickou-men,"Puckquátchick nickouêmen","I will sleep without the doores,","I will sleepe without the doores,","Sleep and Lodging",3,kinship,true,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
rw-024-mouaqu-mitea,"Mouaquómitea","Let us lye abroad.","Let us lye abroad.","Sleep and Lodging",3,kinship,true,colonial_record,false,"Historical record (Williams 1643) — not a living tribal speaker"
