id	narragansett	modern	historical
rw-002-ne-n-ke-n-ew	Neèn, Keèn, Ewò	I, you, he.	I, you, he.
rw-003-ke-nkaneen	Keénkaneen	You and I.	You and I.
rw-004-ascowequassunn-mmis	Ascowequassunnúmmis	Good morning.	Good morrow.
rw-005-askuttaaquomps-n	Askuttaaquompsín	How are you?	Hou doe you?
rw-006-asnpaumpma-ntam	Asnpaumpmaúntam	I am very well.	I am very well.
rw-007-taub-t-paump-ma-ntaman	Taubút paump maúntaman	I am glad you are well.	I am glad you are well.
rw-008-cowa-nckamish	Cowaúnckamish	My respects to you. / At your service.	My service to you.
rw-009-matta-niccattupp-mmin	Matta niccattuppúmmin	I am not hungry.	I am not hungry.
rw-010-nicc-wkatone	Niccàwkatone	I am thirsty.	I am thirstie.
rw-011-nip-or-nip-wese	Nip, or nipéwese	Give me some water.	Give me some water.
rw-012-namitch-commetes-mmin	Namitch, commetesímmin	Stay — you must eat first.	Stay, you must eat first.
rw-013-t-aquacumm-ich	Téaquacumméich	What will you eat?	What will you eat?
rw-014-n-kehick	Nókehick	Parched meal (dried ground corn).	Parch’d meal, which is a
rw-015-aup-mmineanash	Aupúmmineanash	The parched corn.	The parch’d corne.
rw-016-aup-minea-nawsa-mp	Aupúminea-nawsaùmp	Parched meal boiled (a soft corn porridge).	The parch’d meale boild
rw-017-nsowwushk-wmen	Nsowwushkâwmen	I am weary.	I am weary.
rw-018-nk-taquaum	Nkàtaquaum	I am sleepy.	I am sleepie.
rw-019-kukkoveto-s	Kukkovetoùs	May I stay the night here?	Shall I lodge here?
rw-020-kukkow-ti	Kukkowéti	Will you sleep here?	Will you sleepe here.
rw-021-wunn-gin-c-wish	Wunnégin, cówish	Welcome — sleep here.	Welcome, sleepe here.
rw-022-nummouaqu-men	Nummouaquômen	I will lodge outdoors.	I will lodge abroad.
rw-023-puckqu-tchick-nickou-men	Puckquátchick nickouêmen	I will sleep outdoors.	I will sleepe without the doores,
rw-024-mouaqu-mitea	Mouaquómitea	Let us sleep outdoors.	Let us lye abroad.
rw-025-nqu-t	Nquít	One.	One.
rw-026-pi-ck	Piùck	Ten.	10
rw-027-piucknabna-qu-t	Piucknabna quìt	Eleven.	11
rw-028-piucknab-ne-se	Piucknab neèse	Twelve.	12
rw-029-piucknab-n-sh	Piucknab nìsh	Thirteen.	13
rw-030-piucknab-y-h	Piucknab yòh	Fourteen.	14
rw-031-piucknab-nap-nna	Piucknab napánna	Fifteen.	15
rw-032-piucknab-naq-tta	Piucknab naqútta	Sixteen.	16
rw-033-ske-tomp-a-og	Skeétomp-aûog	Man; men.	Man-men.
rw-034-squ-ws-suck	Squàws-suck	Woman; women.	Woman-women.
rw-035-kichizuck	Kichizuck	Elders / old men.	Old men.
rw-036-h-mesuck	Hômesuck	Elders / old men.	Old men.
rw-037-kutch-nnu	Kutchínnu	A middle-aged man.	A middle-aged man,
rw-038-kutch-nnuwock	Kutchínnuwock	Middle-aged men.	Middle-aged men.
rw-039-wuske-ne	Wuskeène	A youth.	A youth,
rw-040-wuskeene-suck	Wuskeeneésuck	Youths.	Youths.
rw-041-wetu	Wetu	A house / dwelling.	An House.
rw-042-wetu-muck	Wetuômuck	At home.	At home.
rw-043-w-kick	Wékick	At his house.	At his house.
rw-044-nickqu-num	Nickquénum	I am going.	I am going;
rw-045-puttuckak-un	Puttuckakàun	A round house.	A round house.
rw-046-puttuckak-unese	Puttuckakàunese	A little round house.	A little round house.
rw-047-wetuom-mese	Wetuomémese	A little house.	A little house;
rw-048-ne-s-quttow	Neés quttow	A long house with two fires.	A long house with two fires.
rw-049-uppaqu-ntup	Uppaquóntup	The head.	The head.
rw-050-nuppaqu-ntup	Nuppaquóntup	My head.	My head.
rw-051-w-sheck	Wésheck	The hair.	The hayre.
rw-052-wuchechep-nnock	Wuchechepúnnock	A large bunch of hair.	A great bunch of hayre
rw-053-m-ppacuck	Múppacuck	A long lock of hair.	A long locke.
rw-054-msc-ttuck	Mscáttuck	The forehead.	The fore-head.
rw-055-wuske-suck-quash	Wuskeésuck-quash	Eye; eyes.	Eye, or eyes.
rw-056-wucha-n	Wuchaûn	The nostrils.	The nostrills.
rw-057-aunchemokauhett-ttea	Aunchemokauhettíttea	Let us talk / tell the news.	Let us discourse, or tell newes.
rw-058-aaunchem-kaw	Aaunchemókaw	Tell me your news.	Tell me your newes.
rw-059-cuttaunchem-kous	Cuttaunchemókous	I will tell you the news.	I will tell you newes.
rw-060-mautaunchemokou-an	Mautaunchemokouêan	When I have finished telling….	When I have done telling
rw-061-cummautaunchem-kous	Cummautaunchemókous	I have finished my news.	I have done my newes.
rw-062-wutauich-ocou-og	Wutauichéocouôog	I will tell it to them.	I will tell it them.
rw-063-awaun-mesh-aunchem-kau	Awaun mesh aunchemókau	Who brought this news?	Who brought this newes?
rw-064-awaun-mesh-kupp-ttouwaw	Awaun mesh kuppíttouwaw	From whom did you hear it?	Of whom did you heare it?
rw-065-maut-bon-chich-uquat-wom	Mautàbon, Chicháuquat wompan	It is day.	It is day.
rw-066-ampat-uban	Ampatâuban	It is broad daylight.	It is broad day.
rw-067-p-shisha	Páshisha	It is sunrise.	It is Sunne-rise.
rw-068-numm-ttaq-aw	Nummáttaqúaw	Morning (before noon).	Fore-noone.
